Id,ActivityDate,TotalSteps,TotalDistance,VeryActiveDistance,Calories
1503960366,04-12-16,13162,8.5,1.879999995,1985
1503960366,4/13/2016,10735,6.96999979,1.570000052,1797
1503960366,4/14/2016,10460,6.739999771,2.440000057,1776
1503960366,4/15/2016,9762,6.28000021,2.140000105,1745
1503960366,4/16/2016,12669,8.159999847,2.710000038,1863
1503960366,4/17/2016,9705,6.480000019,3.190000057,1728
1503960366,4/18/2016,13019,8.590000153,3.25,1921
1503960366,4/19/2016,15506,9.880000114,3.529999971,2035
1503960366,4/20/2016,10544,6.679999828,1.960000038,1786
1503960366,4/21/2016,9819,6.340000153,1.340000033,1775
1503960366,4/22/2016,12764,8.130000114,4.760000229,1827
1503960366,4/23/2016,14371,9.039999962,2.809999943,1949
1503960366,4/24/2016,10039,6.409999847,2.920000076,1788
1503960366,4/25/2016,15355,9.800000191,5.289999962,2013
1503960366,4/26/2016,13755,8.789999962,2.329999924,1970
1503960366,4/27/2016,18134,12.21000004,6.400000095,2159
1503960366,4/28/2016,13154,8.529999733,3.539999962,1898
1503960366,4/29/2016,11181,7.150000095,1.059999943,1837
1503960366,4/30/2016,14673,9.25,3.559999943,1947
1503960366,05-01-16,10602,6.809999943,2.289999962,1820
1503960366,05-02-16,14727,9.710000038,3.210000038,2004
1503960366,05-03-16,15103,9.659999847,3.730000019,1990
1503960366,05-04-16,11100,7.150000095,2.460000038,1819
1503960366,05-05-16,14070,8.899999619,2.920000076,1959
1503960366,05-06-16,12159,8.029999733,1.970000029,1896
1503960366,05-07-16,11992,7.710000038,2.460000038,1821
1503960366,05-08-16,10060,6.579999924,3.529999971,1740
1503960366,05-09-16,12022,7.71999979,3.450000048,1819
1503960366,05-10-16,12207,7.769999981,3.349999905,1859
1503960366,05-11-16,12770,8.130000114,2.559999943,1783
1503960366,05-12-16,0,0,0,0
1624580081,04-12-16,8163,5.309999943,0,1432
1624580081,4/13/2016,7007,4.550000191,0,1411
1624580081,4/14/2016,9107,5.920000076,0,1572
1624580081,4/15/2016,1510,0.980000019,0,1344
1624580081,4/16/2016,5370,3.49000001,0,1463
1624580081,4/17/2016,6175,4.059999943,1.029999971,1554
1624580081,4/18/2016,10536,7.409999847,2.150000095,1604
1624580081,4/19/2016,2916,1.899999976,0,1435
1624580081,4/20/2016,4974,3.230000019,0,1446
1624580081,4/21/2016,6349,4.130000114,0,1467
1624580081,4/22/2016,4026,2.619999886,0,1470
1624580081,4/23/2016,8538,5.550000191,0,1562
1624580081,4/24/2016,6076,3.950000048,1.149999976,1617
1624580081,4/25/2016,6497,4.21999979,0,1492
1624580081,4/26/2016,2826,1.840000033,0,1402
1624580081,4/27/2016,8367,5.440000057,1.110000014,1670
1624580081,4/28/2016,2759,1.789999962,0,1401
1624580081,4/29/2016,2390,1.549999952,0,1404
1624580081,4/30/2016,6474,4.300000191,0.899999976,1655
1624580081,05-01-16,36019,28.03000069,21.92000008,2690
1624580081,05-02-16,7155,4.929999828,0.860000014,1497
1624580081,05-03-16,2100,1.370000005,0,1334
1624580081,05-04-16,2193,1.429999948,0,1368
1624580081,05-05-16,2470,1.610000014,0,1370
1624580081,05-06-16,1727,1.120000005,0,1341
1624580081,05-07-16,2104,1.370000005,0,1474
1624580081,05-08-16,3427,2.230000019,0,1427
1624580081,05-09-16,1732,1.129999995,0,1328
1624580081,05-10-16,2969,1.929999948,0,1393
1624580081,05-11-16,3134,2.039999962,0,1359
1624580081,05-12-16,2971,1.929999948,0,1002
1644430081,04-12-16,10694,7.769999981,0.140000001,3199
1644430081,4/13/2016,8001,5.820000172,2.279999971,2902
1644430081,4/14/2016,11037,8.020000458,0.360000014,3226
1644430081,4/15/2016,5263,3.829999924,0.219999999,2750
1644430081,4/16/2016,15300,11.11999989,4.099999905,3493
1644430081,4/17/2016,8757,6.369999886,2.25,3011
1644430081,4/18/2016,7132,5.190000057,1.070000052,2806
1644430081,4/19/2016,11256,8.180000305,0.360000014,3300
1644430081,4/20/2016,2436,1.769999981,0,2430
1644430081,4/21/2016,1223,0.889999986,0,2140
1644430081,4/22/2016,3673,2.670000076,0,2344
1644430081,4/23/2016,6637,4.829999924,0,2677
1644430081,4/24/2016,3321,2.410000086,0,2413
1644430081,4/25/2016,3580,2.599999905,0.589999974,2497
1644430081,4/26/2016,9919,7.210000038,0.800000012,3123
1644430081,4/27/2016,3032,2.200000048,0,2489
1644430081,4/28/2016,9405,6.840000153,0.200000003,3108
1644430081,4/29/2016,3176,2.309999943,0,2498
1644430081,4/30/2016,18213,13.23999977,0.629999995,3846
1644430081,05-01-16,6132,4.460000038,0.239999995,2696
1644430081,05-02-16,3758,2.730000019,0.07,2580
1644430081,05-03-16,12850,9.340000153,0.720000029,3324
1644430081,05-04-16,2309,1.679999948,0,2222
1644430081,05-05-16,4363,3.190000057,0.519999981,2463
1644430081,05-06-16,9787,7.119999886,0.819999993,3328
1644430081,05-07-16,13372,9.720000267,3.25999999,3404
1644430081,05-08-16,6724,4.889999866,0,2987
1644430081,05-09-16,6643,4.829999924,2.390000105,3008
1644430081,05-10-16,9167,6.659999847,0.879999995,2799
1644430081,05-11-16,1329,0.970000029,0,1276
1844505072,04-12-16,6697,4.429999828,0,2030
1844505072,4/13/2016,4929,3.25999999,0,1860
1844505072,4/14/2016,7937,5.25,0,2130
1844505072,4/15/2016,3844,2.539999962,0,1725
1844505072,4/16/2016,3414,2.25999999,0,1657
1844505072,4/17/2016,4525,2.99000001,0.140000001,1793
1844505072,4/18/2016,4597,3.039999962,0,1814
1844505072,4/19/2016,197,0.129999995,0,1366
1844505072,4/20/2016,8,0.01,0,1349
1844505072,4/21/2016,8054,5.320000172,0.119999997,2062
1844505072,4/22/2016,5372,3.549999952,0,1827
1844505072,4/23/2016,3570,2.359999895,0,1645
1844505072,4/24/2016,0,0,0,1347
1844505072,4/25/2016,0,0,0,1347
1844505072,4/26/2016,0,0,0,1347
1844505072,4/27/2016,4,0,0,1348
1844505072,4/28/2016,6907,4.570000172,0,1992
1844505072,4/29/2016,4920,3.25,0,1856
1844505072,4/30/2016,4014,2.670000076,0,1763
1844505072,05-01-16,2573,1.700000048,0,1541
1844505072,05-02-16,0,0,0,1348
1844505072,05-03-16,4059,2.680000067,0,1742
1844505072,05-04-16,2080,1.370000005,0,1549
1844505072,05-05-16,2237,1.480000019,0,1589
1844505072,05-06-16,44,0.029999999,0,1351
1844505072,05-07-16,0,0,0,1347
1844505072,05-08-16,0,0,0,1347
1844505072,05-09-16,0,0,0,1347
1844505072,05-10-16,0,0,0,1347
1844505072,05-11-16,0,0,0,1347
1844505072,05-12-16,0,0,0,665
1927972279,04-12-16,678,0.469999999,0,2220
1927972279,4/13/2016,356,0.25,0,2151
1927972279,4/14/2016,2163,1.5,0,2383
1927972279,4/15/2016,980,0.680000007,0,2221
1927972279,4/16/2016,0,0,0,2064
1927972279,4/17/2016,0,0,0,2063
1927972279,4/18/2016,244,0.170000002,0,2111
1927972279,4/19/2016,0,0,0,2063
1927972279,4/20/2016,0,0,0,2063
1927972279,4/21/2016,0,0,0,2064
1927972279,4/22/2016,149,0.100000001,0,2093
1927972279,4/23/2016,2945,2.039999962,0,2499
1927972279,4/24/2016,2090,1.450000048,0.07,2324
1927972279,4/25/2016,152,0.109999999,0,2100
1927972279,4/26/2016,3761,2.599999905,0,2638
1927972279,4/27/2016,0,0,0,2063
1927972279,4/28/2016,1675,1.159999967,0,2351
1927972279,4/29/2016,0,0,0,2063
1927972279,4/30/2016,0,0,0,2064
1927972279,05-01-16,2704,1.870000005,1.00999999,2411
1927972279,05-02-16,3790,2.619999886,1.159999967,2505
1927972279,05-03-16,1326,0.920000017,0.730000019,2195
1927972279,05-04-16,1786,1.24000001,0,2338
1927972279,05-05-16,0,0,0,2063
1927972279,05-06-16,2091,1.450000048,0,2383
1927972279,05-07-16,1510,1.039999962,0,2229
1927972279,05-08-16,0,0,0,2063
1927972279,05-09-16,0,0,0,2063
1927972279,05-10-16,0,0,0,2063
1927972279,05-11-16,0,0,0,2063
1927972279,05-12-16,0,0,0,1383
2022484408,04-12-16,11875,8.340000153,3.309999943,2390
2022484408,4/13/2016,12024,8.5,2.99000001,2601
2022484408,4/14/2016,10690,7.5,2.480000019,2312
2022484408,4/15/2016,11034,8.029999733,1.940000057,2525
2022484408,4/16/2016,10100,7.090000153,3.150000095,2177
2022484408,4/17/2016,15112,11.39999962,3.869999886,2782
2022484408,4/18/2016,14131,10.06999969,3.640000105,2770
2022484408,4/19/2016,11548,8.529999733,3.289999962,2489
2022484408,4/20/2016,15112,10.67000008,3.339999914,2897
2022484408,4/21/2016,12453,8.739999771,3.329999924,3158
2022484408,4/22/2016,12954,9.329999924,4.429999828,2638
2022484408,4/23/2016,6001,4.210000038,0,2069
2022484408,4/24/2016,13481,10.27999973,4.550000191,2529
2022484408,4/25/2016,11369,8.010000229,3.329999924,2470
2022484408,4/26/2016,10119,7.190000057,1.429999948,2793
2022484408,4/27/2016,10159,7.130000114,1.039999962,2463
2022484408,4/28/2016,10140,7.119999886,0.409999996,2296
2022484408,4/29/2016,10245,7.190000057,0.479999989,2611
2022484408,4/30/2016,18387,12.90999985,0.939999998,2732
2022484408,05-01-16,10538,7.400000095,1.940000057,2380
2022484408,05-02-16,10379,7.289999962,2.609999895,2473
2022484408,05-03-16,12183,8.739999771,3.99000001,2752
2022484408,05-04-16,11768,8.289999962,2.50999999,2649
2022484408,05-05-16,11895,8.350000381,2.789999962,2609
2022484408,05-06-16,10227,7.179999828,1.870000005,2498
2022484408,05-07-16,6708,4.710000038,1.610000014,1995
2022484408,05-08-16,3292,2.309999943,0,1848
2022484408,05-09-16,13379,9.390000343,2.119999886,2709
2022484408,05-10-16,12798,8.979999542,2.220000029,2797
2022484408,05-11-16,13272,9.319999695,4.179999828,2544
2022484408,05-12-16,9117,6.409999847,1.279999971,1853
2026352035,04-12-16,4414,2.74000001,0.189999998,1459
2026352035,4/13/2016,4993,3.099999905,0,1521
2026352035,4/14/2016,3335,2.069999933,0,1431
2026352035,4/15/2016,3821,2.369999886,0,1444
2026352035,4/16/2016,2547,1.580000043,0,1373
2026352035,4/17/2016,838,0.519999981,0,1214
2026352035,4/18/2016,3325,2.059999943,0,1419
2026352035,4/19/2016,2424,1.5,0,1356
2026352035,4/20/2016,7222,4.480000019,0,1667
2026352035,4/21/2016,2467,1.529999971,0,1370
2026352035,4/22/2016,2915,1.809999943,0,1399
2026352035,4/23/2016,12357,7.710000038,0,1916
2026352035,4/24/2016,3490,2.160000086,0,1401
2026352035,4/25/2016,6017,3.730000019,0,1576
2026352035,4/26/2016,5933,3.680000067,0,1595
2026352035,4/27/2016,6088,3.769999981,0,1593
2026352035,4/28/2016,6375,3.950000048,0,1649
2026352035,4/29/2016,7604,4.710000038,0,1692
2026352035,4/30/2016,4729,2.930000067,0,1506
2026352035,05-01-16,3609,2.279999971,0,1447
2026352035,05-02-16,7018,4.349999905,0,1690
2026352035,05-03-16,5992,3.720000029,0,1604
2026352035,05-04-16,6564,4.070000172,0,1658
2026352035,05-05-16,12167,7.539999962,0,1926
2026352035,05-06-16,8198,5.079999924,0,1736
2026352035,05-07-16,4193,2.599999905,0,1491
2026352035,05-08-16,5528,3.450000048,0,1555
2026352035,05-09-16,10685,6.619999886,0,1869
2026352035,05-10-16,254,0.159999996,0,1141
